index,MAE,RMSE,R2 Score
knn_imputed_Ridge.pkl,1.6248282109961116,2.8758314702440733,-1243.1687489513322
knn_imputed_Lasso.pkl,0.039917497763228116,0.0031338239827452606,-0.35578385047540406
knn_imputed_RandomForest.pkl,0.04398053324900029,0.0035077532740734226,-0.5175565911250966
knn_imputed_LinearRegression.pkl,2.14518595194366,4.892592694810529,-2115.6786006810817
knn_imputed_XGBoost.pkl,0.06902696192371117,0.006602382449509681,-1.8563836223711414
knn_imputed_LightGBM.pkl,0.04662632987337666,0.003791557487523896,-0.6403385889053157
imputed_interpolate_LinearRegression.pkl,2.82157994274,11.298635315688445,-4887.119874557314
imputed_interpolate_Ridge.pkl,2.9409833767918934,10.661604056108064,-4611.521532486265
imputed_interpolate_Lasso.pkl,0.03568335735677922,0.002779360123539543,-0.20243242469835399
imputed_interpolate_RandomForest.pkl,0.06183075554612078,0.0057839683067640495,-1.5023137435762308
imputed_interpolate_XGBoost.pkl,0.15880590648126539,0.030869601458885766,-12.355091849129986
imputed_interpolate_LightGBM.pkl,0.06599339427513112,0.0064568440416868985,-1.7934194533442716
imputed_MICE_LinearRegression.pkl,2.5440995536147084,7.960995471631695,-3443.159325339951
imputed_MICE_Ridge.pkl,1.9126363408570148,4.858622729781417,-2100.9822009339146
imputed_MICE_Lasso.pkl,0.032260979650015884,0.0025305965196277726,-0.09481001877299411
imputed_MICE_RandomForest.pkl,0.03914989498064521,0.003050750920235811,-0.3198440155708344
imputed_MICE_XGBoost.pkl,0.038844091894565974,0.0031741245477180024,-0.3732190527892285
imputed_MICE_LightGBM.pkl,0.032167776910879714,0.002434791998606995,-0.053362182800816615
mean_athlete_dataset_LinearRegression.pkl,0.8660047398105944,0.8925454255514768,-385.1412384489862
mean_athlete_dataset_Ridge.pkl,0.08628466209033324,0.010826729106508065,-3.683959455571256
mean_athlete_dataset_Lasso.pkl,0.03846601376550706,0.0030058774161320864,-0.300430426130889
mean_athlete_dataset_RandomForest.pkl,0.0650051459695433,0.006065015400401225,-1.623902930740003
mean_athlete_dataset_XGBoost.pkl,0.05208007077807167,0.004488397443405073,-0.941811921087192
mean_athlete_dataset_LightGBM.pkl,0.04525990694766762,0.003636869429326174,-0.5734160136998789
mode_athlete_dataset_LinearRegression.pkl,0.06577577989115578,0.006249339945308162,-1.7036471163123323
mode_athlete_dataset_Ridge.pkl,0.05580955387885988,0.005077686935670837,-1.1967557792195453
mode_athlete_dataset_Lasso.pkl,0.05020462391995885,0.004181587961785441,-0.8090771718980445
mode_athlete_dataset_RandomForest.pkl,0.047199969144132256,0.0038860456931533206,-0.6812169483658721
mode_athlete_dataset_XGBoost.pkl,0.06408552575849828,0.0060378475127476836,-1.6121493084769125
mode_athlete_dataset_LightGBM.pkl,0.04840395502929258,0.003992485455757192,-0.7272659006941862
median_athlete_dataset_LinearRegression.pkl,0.05463667875885532,0.006373871826926943,-1.7575232481237157
median_athlete_dataset_Ridge.pkl,0.06113652228155763,0.0071447166128545975,-2.091013232799998
median_athlete_dataset_Lasso.pkl,0.046704934540038524,0.0037977502644038837,-0.6430177651863427
median_athlete_dataset_RandomForest.pkl,0.05158310665331228,0.004367385329553235,-0.8894585436877094
median_athlete_dataset_XGBoost.pkl,0.06293733701765693,0.005780446564095041,-1.5007901347639745
median_athlete_dataset_LightGBM.pkl,0.05049092652744552,0.00421916281671473,-0.8253331523799028
em_imputed_LinearRegression.pkl,0.44038424419307715,0.26440296762297566,-113.38845177481075
em_imputed_Ridge.pkl,0.16983115144202843,0.036264778787942785,-14.689203252151026
em_imputed_Lasso.pkl,0.038527431549865675,0.003011188821312485,-0.30272829525390454
em_imputed_RandomForest.pkl,0.08803023639933573,0.009770445265643878,-3.2269801929046693
em_imputed_XGBoost.pkl,0.08347686505037982,0.008984806015665212,-2.887089690666698
em_imputed_LightGBM.pkl,0.06099048291645006,0.005465019935088243,-1.3643273557527906
